input_text,target_text
"Im Bündnis aktiv sind darüber hinaus viele Pflegerinnen, Auszubildende, betroffene Patienten und neben anderen politischen Gruppen wie der IL auch die SAV aktiv.","Im Bündnis aktiv sind darüber hinaus viele Pflegekräfte, Auszubildende, betroffene PatientInnen und neben anderen politischen Gruppen wie der IL auch die SAV aktiv.	"
Diese Gruppen werden von ehrenamtlichen Firmbegleitern betreut und über einen Zeitraum von etwa sechs Monaten begleitet.,Diese Gruppen werden von ehrenamtlichen Firmbegleiter*innen betreut und über einen Zeitraum von etwa sechs Monaten begleitet.	
Allein 25.000 Lehrer würden in den Schulen fehlen.,Allein 25.000 LehrerInnen würden in den Schulen fehlen.	
Gestern haben viele Wähler wohl auch aus Angst vor ungewissen Koalitionsverhandlungen und dem Wunsch nach mehr Stabilität die AKP wiedergewählt.,Gestern haben viele WählerInnen wohl auch aus Angst vor ungewissen Koalitionsverhandlungen und dem Wunsch nach mehr Stabilität die AKP wiedergewählt.	
"Eine Umfrage ergab, dass 80 Prozent der Serben Sanktionen gegen Russland ablehnen.","Eine Umfrage ergab, dass 80 Prozent der Serbinnen und Serben Sanktionen gegen Russland ablehnen.	"
Zusätzlich zu den Mitarbeitern der Betriebsmannschaft werden bis zu 1200 Fachmänner in der Anlage tätig sein.	,Zusätzlich zu den Mitarbeitern der Betriebsmannschaft werden bis zu 1200 Fachkräfte in der Anlage tätig sein.	
Nach einer Rechnung des Bundesinstituts für Berufsbildung werden im Jahr 2025 nur noch 360.000 Lehrlinge zur Verfügung stehen.        ,Nach einer Rechnung des Bundesinstituts für Berufsbildung werden im Jahr 2025 nur noch 360.000 Auszubildende zur Verfügung stehen.	
Der AHS-Lehrer bereiten die neuen Lehrpläne für das kommende Schuljahr alleine vor. ,Die AHS-Lehrerin bzw. der AHS-Lehrer bereiten gemeinsam mit dem Kollegium die neuen Lehrpläne für das kommende Schuljahr vor. 
"Die Abnehmer erhalten die neuen Produkte pünktlich, aber ohne zusätzliche Informationen. ",Alle Abnehmerinnen und Abnehmer erhalten die neuen Produkte pünktlich und mit detaillierten Informationen zum Gebrauch. 
"Die Abonnenten bekommen die Zeitung pünktlich nach Hause geliefert, Sonderbeilage fehlt. ","Jede Abonnentin und jeder Abonnent bekommt die Zeitung pünktlich nach Hause geliefert, inklusive der Sonderbeilage zum Monatsanfang. "
"Der Brief wurde von den Absendern adressiert, kam aber verspätet an. ",Der Brief wurde von der Absenderin bzw. dem Absender korrekt adressiert und rechtzeitig verschickt. 
Der Abteilungsleiter übernimmt die Leitung der neuen Abteilung ohne weitere Koordination. ,Die Abteilungsleiterin bzw. der Abteilungsleiter übernimmt die Leitung der neuen Abteilung und koordiniert die Teamarbeit effizient. 
"Die Altenpfleger sorgen rund um die Uhr für die Patienten, ohne detaillierte Dokumentation. ","Das Pflegepersonal sorgt rund um die Uhr für die Patienten,  ohne detaillierte Dokumentation. "
Die Altenpfleger sorgen rund um die Uhr für die Patienten und dokumentiert alle Pflegeleistungen sorgfältig. ,Das Pflegepersonal sorgt rund um die Uhr für die Patienten und dokumentiert alle Pflegeleistungen sorgfältig. 
"Die Amtsärzte kontrollieren die Dokumente gelegentlich, ohne Rückmeldung. ","Die Amtsärztin und der Amtsarzt kontrollieren  die Dokumente gelegentlich, ohne Rückmeldung. "
Die Amtsärzte kontrollieren regelmäßig die Dokumente und geben Hinweise zu notwendigen Anpassungen. ,Die Amtsärztin und der Amtsarzt kontrollieren regelmäßig die Dokumente und geben Hinweise zu notwendigen Anpassungen. 
Der amtsführende Stadtrat besuchte die Sitzung und brachte alle wichtigen Unterlagen mit. ,Die amtsführende Stadträtin bzw. der amtsführende Stadtrat besuchte die Sitzung und brachte alle wichtigen Unterlagen mit. 
"Der amtsführende Stadtrat besuchte die Sitzung, Unterlagen wurden vergessen. ","Die amtsführende Stadträtin bzw. der amtsführende Stadtrat besuchte die Sitzung, Unterlagen wurden vergessen. "
Der Amtsgehilfe sortiert  die Unterlagen und bereiten sich für die nächste Sitzung vor. ,Die Amtsgehilfin und der Amtsgehilfe sortieren die Unterlagen und bereiten sich für die nächste Sitzung vor. 
"Der Amtsgehilfe sortiert die Unterlagen sorgfällig, aber Vorbereitung bleibt unvollständig. ","Die Amtsgehilfin und der Amtsgehilfe sortieren die Unterlagen sorgfällig, aber Vorbereitung bleibt unvollständig. "
"Jeder Familienangehörige erhält die Informationen rechtzeitig per E-Mail, inklusive Anweisungen zur weiteren Vorgehensweise. ","Jedes Familienmitglied erhält die Informationen rechtzeitig per E-Mail, inklusive Anweisungen zur weiteren Vorgehensweise. "
"Jeder Familienangehörige erhält die Informationen per E-Mail, ohne Anweisungen. ","Jedes Familienmitglied erhält die Informationen per E-Mail, ohne Anweisungen. "
Alle Mitarbeiter sind mit dem dem neuen Projekt beschäftigt und berichtet regelmäßig über den Fortschritt. ,Alle Mitarbeitende sind mit dem dem neuen Projekt beschäftigt und berichtet regelmäßig über den Fortschritt. 
"Alle Mitarbeiter arbeiten an dem neuen Projekt, Fortschrittsberichte fehlen. ","Alle Mitarbeitende arbeiten an dem neuen Projekt, Fortschrittsberichte fehlen. "
Ein Ansprechpartner steht jederzeit für Fragen zur Verfügung und vermittelt die Anliegen effizient. ,Eine Ansprechperson steht jederzeit für Fragen zur Verfügung und vermittelt die Anliegen effizient. 
"Ein Ansprechpartner steht nur sporadisch zur Verfügung, Anliegen bleiben oft unbeantwortet. ","Eine Ansprechperson steht nur sporadisch zur Verfügung, Anliegen bleiben oft unbeantwortet. "
Der Antrag wurde vom Antragsteller vollständig und korrekt ausgefüllt. ,Der Antrag wurde von der Antragstellerin bzw. dem Antragsteller vollständig und korrekt ausgefüllt. 
"Der Antrag wurde vom Antragsteller ausgefüllt, einige Angaben fehlen. ","Der Antrag wurde von der Antragstellerin bzw. dem Antragsteller ausgefüllt, einige Angaben fehlen. "
Die Kosten für die Rechtsvertretung wurden transparent für alle Teilnehmer aufgezeigt. ,Die Kosten für die Rechtsvertretung wurden transparent für alle Beteiligten aufgezeigt. 
Die Arbeitnehmer  arbeiten Hand in Hand an den Projekten und tauschen regelmäßig Feedback aus. ,Die Beschäftigten arbeiten Hand in Hand an den Projekten und tauschen regelmäßig Feedback aus. 
"Die Arbeitnehmer  arbeiten allein an den Projekten, Feedback wird kaum gegeben. ","Die Beschäftigten arbeiten an den Projekten, Feedback wird kaum gegeben. "
Die Arbeitgeber setzen auf Gleichberechtigung in allen Abteilungen. ,Die Unternehmen bzw. Arbeitgebenden setzen auf Gleichberechtigung in allen Abteilungen. 
Die Arbeitgeber entscheidet alleine über die Personalfragen ohne Rücksicht auf Gender. ,Die Unternehmen bzw. Arbeitgebenden entscheiden alleine über die Personalfragen ohne Rücksicht auf Gender. 
Die Assistenzärzte übernehmen verantwortungsvoll die Versorgung der Patienten. ,Die Assistenzärztin bzw. der Assistenzarzt übernimmt verantwortungsvoll die Versorgung der Patienten. 
Die Assistenzärzte übernehmen die Versorgung der Patienten ohne Berücksichtigung der Assistenzärztin. ,Die Assistenzärztin bzw. der Assistenzarzt übernimmt die Versorgung der Patienten ohne Berücksichtigung der Assistenzärztin. 
Die Begleiter unterstützt nur die Teilnehmer während der gesamten Exkursion. ,Die Begleitende unterstützen die Teilnehmerinnen und Teilnehmer während der gesamten Exkursion. 
Das Benutzerhandbuch steht allen Benutzern zur Verfügung und erklärt alle Funktionen ausführlich.,Das Manual steht allen Benutzerinnen und Benutzern zur Verfügung und erklärt alle Funktionen ausführlich. 
Der Berater kann allen Ratsuchenden neutral und professionell beraten. ,Die Beratung wurde allen Ratsuchenden neutral und professionell angeboten. 
Der Beschuldigte wurde korrekt informiert und erhielt die Möglichkeit zur Stellungnahme. ,Die beschuldigte Person wurde korrekt informiert und erhielt die Möglichkeit zur Stellungnahme. 
Die Bewohner des Hauses erhalten alle relevanten Informationen zur neuen Hausordnung.,Die Bewohnerin bzw. der Bewohner des Hauses erhielt alle relevanten Informationen zur neuen Hausordnung. 
Der Budgetkoordinator wurde die Verantwortung für den Finanzplan übertragen. ,Der Budgetkoordinatorin bzw. -koordinator wurde die Verantwortung für den Finanzplan übertragen. 
Der Budgetkoordinator übernahm die Verantwortung alleine.,Der Budgetkoordinatorin bzw. -koordinator übernahm die Verantwortung alleine.
"Die Bundespräsidentwahl wurde transparent durchgeführt, alle  Bürger konnten ihre Stimme abgeben. ","Die Bundespräsidentschaftswahl wurde transparent durchgeführt, alle Bürgerinnen und Bürger konnten ihre Stimme abgeben. "
Die Börsenmakler handeln täglich mit Aktien und sorgen für einen funktionierenden Markt. ,Die Börsenmakler*innen handeln täglich mit Aktien und sorgen für einen funktionierenden Markt. 
Die Bürger wurde umfassend über die neuen Regelungen informiert. ,Die Bevölkerung wurde umfassend über die neuen Regelungen informiert. 
Die Bürgerbeteiligung an der Planung wurde aktiv gefördert. ,Die Beteiligung von Bürgerinnen und Bürgern an der Planung wurde aktiv gefördert. 
Die Chirurgen führten die Operationen erfolgreich durch. ,Die Chirurginnen und Chirurgen führten die Operationen erfolgreich durch. 
Der Clown bereitete den Kindern viel Freude bei der Aufführung. ,Die Clownin bzw. der Clown bereitete den Kindern viel Freude bei der Aufführung. 
Die Controller überprüften die Finanzberichte korrekt und vollständig.,Die Controller*innen überprüften die Finanzberichte korrekt und vollständig. 
"Die Controller stellten sicher, dass alle Rechnungen korrekt verbucht wurden. ","Die Controllerinnen und Controller stellten sicher, dass alle Rechnungen korrekt verbucht wurden. "
Die Dachdecker reparierten das Dach zuverlässig und fristgerecht.,Die Dachdecker*innen reparierten das Dach zuverlässig und fristgerecht. 
Der Dekan eröffnete das neue Semester mit einer Begrüßungsrede.,Die Dekanatvorsitzende eröffneten das neue Semester mit einer Begrüßungsrede. 
Der Dachdecker arbeiteten am Neubau.,Die Dachdeckerin und der Dachdecker arbeiteten am Neubau. 
Der Dekan eröffnete das neue Semester mit einer Begrüßungsrede.,Die Dekanin bzw. der Dekan eröffneten das neue Semester mit einer Begrüßungsrede. 
Die Dekane führten die Versammlung.,Die Dekanatvorsitzende führten die Fakultätsversammlung.
Die Delegierten wurden über alle Tagesordnungspunkte informiert.,Die Delegierten und Delegiertinnen wurden über alle Tagesordnungspunkte informiert.
Die Demonstranten protestierten friedlich für ihre Anliegen.,Die Demonstrierenden protestierten friedlich für ihre Anliegen. 
Der Dentisten behandelten die Patienten professionell.  ,Die Dentistin bzw. der Dentist behandelte die Patienten professionell. 
Die Desinfektionsgehilfinnen reinigte alle Räume sorgfältig. ,Die Desinfektionshilfskraft reinigte alle Räume sorgfältig. 
Die Zahnärzte arbeitete korrekt und mit allen Hygienestandards.,Die Zahnärztin bzw. der Zahnarzt arbeitete korrekt und mit allen Hygienestandards. 
Die Desinfektionsgehilfinnen reinigte alle Räume sorgfältig. ,Die Desinfektionsgehilfin bzw. der Desinfektionsgehilfe reinigten alle Räume sorgfältig. 
Die dezentrale Administratoren verwalteten die Netzwerke effizient.,Die dezentralen Administrator*innen verwalteten die Netzwerke effizient. 
Die diplomierten Sozialarbeiter arbeiten in verschiedenen Einrichtungen der Stadt und unterstützen Familien.,Die diplomierten Sozialarbeiter*innen arbeiten in verschiedenen Einrichtungen der Stadt und unterstützen Familien. 
Die diplomierten Sozialarbeiter leiteten das Projekt erfolgreich. ,Die diplomierte Sozialarbeiterin bzw. der diplomierte Sozialarbeiter leitete das Projekt erfolgreich. 
Die diplomierte Logopäde führten die Therapien erfolgreich durch. ,Die Diplomierte Logopädin bzw. der Diplomierte Logopäde führte die Therapien erfolgreich durch. 
Die diplomierte Sozialarbeiter koordinierten das Team effizient. ,Die Diplomierte Sozialarbeiterin bzw. der Diplomierte Sozialarbeiter koordinierte das Team effizient. 
Die Diplomingenieure übernahmen die Bauleitung für das neue Projekt. ,Die Diplomingenieurin bzw. der Diplomingenieur übernahm die Bauleitung für das neue Projekt. 
Die Diplomingenieure planten die technischen Abläufe. ,Die Diplomingenieurin bzw. der Diplomingenieur plante die technischen Abläufe. 
Die Diplomsozialarbeiterinnen betreuten die Jugendlichen in der Einrichtung. ,Die Diplomsozialarbeiterin bzw. der Diplomsozialarbeiter betreute die Jugendlichen in der Einrichtung. 
Die Direktionssekretärinnen organisierten die Abläufe im Büro. ,Das Sekretariat organisierte die Abläufe im Büro. 
Die Direktionssekretärinnen organisierten die Abläufe im Büro. ,Die Direktionssekretärin bzw. der Direktionssekretär organisierte die Abläufe im Büro. 
Die Direktoren eröffneten die neue Ausstellung im Museum. ,Die Direktorin bzw. der Direktor eröffnete die neue Ausstellung im Museum. 
Die Direktoren planten die Umsetzung der neuen Projekte gemeinsam. ,Die Leitung planten die Umsetzung der neuen Projekte gemeinsam. 
Die Dirigenten führten das Orchester perfekt durch das Konzert. ,Die Dirigent*innen führten das Orchester perfekt durch das Konzert. 
Die Diätologen betreuten die Patienten mit speziellen Ernährungsplänen. ,Die Diätologin bzw. der Diätologe betreute die Patienten mit speziellen Ernährungsplänen. 
Die Diätologen planten gemeinsam die Ernährungsberatung in der Klinik. ,Die Diätolog*innen planten gemeinsam die Ernährungsberatung in der Klinik. 
Die Doktoren halten einen Vortrag über moderne Medizin. ,Die Doktorin bzw. der Doktor hielt einen Vortrag über moderne Medizin. 
Die Doktoren tauschten sich auf der Konferenz über aktuelle Forschung aus. ,Die Doktor*innen tauschten sich auf der Konferenz über aktuelle Forschung aus. 
Die Dolmetscher übersetzten simultan alle Redebeiträge. ,Die Dolmetscher*innen übersetzten simultan alle Redebeiträge. 
Die Drechsler fertigten Holzarbeiten für die Ausstellung an.,Die Drechsler*innen fertigten Holzarbeiten für die Ausstellung an. 
Die Drechsler erstellte ein Kunstwerk aus Holz. ,Die Drechslerin bzw. der Drechsler erstellte ein Kunstwerk aus Holz. 
Die Dreher reparierten die Maschinen effizient.,Die Dreher*innen reparierten die Maschinen effizient. 
Die Landtagspräsidente eröffneten die Sitzung. ,Die Landtagspräsidentschaft eröffnete die Sitzung. 
Die Drogenkoordinatoren leiteten das Projekt zur Prävention. ,Der Drogenkoordinator bzw. die Drogenkoordinatorin leitete das Projekt zur Prävention. 
Die Druckereileiter organisierten die Produktion der Zeitung. ,Der Druckereileiter bzw. die Druckereileiterin organisierte die Produktion der Zeitung. 
Die Druckereileiter organisierten die Produktion der Zeitung. ,Die Druckereileitung organisierte die Produktion der Zeitung. 
Die Ansprechpartner  kümmerten sich um alle technischen Probleme. ,Die Ansprechpartner*innen kümmerten sich um alle technischen Probleme. 
Die Genforscher arbeiten an neuen Studien. ,Die Genforscherinnen und Genforschern arbeiten an neuen Studien. 
Die Genosse sprachen auf der Versammlung über die aktuellen Pläne. ,Die Genossinnen und Genossen diskutierten die Strategie auf der Versammlung. 
Die Genossenschafter beteiligten sich aktiv an der Projektplanung. ,Die Genossenschafter*innen beteiligten sich aktiv an der Projektplanung. 
Die Genossenschafter arbeiteten gemeinsam am Konzept. ,Die Genossenschafterinnen und Genossenschafter arbeiteten gemeinsam am Konzept. 
Die Genossen beteiligten sich aktiv an der Projektplanung. ,Die Genossenschafterinnen und Genossenschafter organisierten das Treffen. 
Die Genossen arbeiteten am Konzept. ,Die Genossenschafterinnen und Genossenschafter arbeiteten am Konzept. 
Die Genossen organisierten das Treffen. ,Die Genossenschafterinnen und Genossenschafter organisierten das Treffen. 
Die Geschäftsabteilungsleiter koordinierten die Abteilungen effizient. ,Die Geschäftsabteilungsleiter*innen koordinierten die Abteilungen effizient. 
Die Geschäftsabteilungsleiter koordinierten die Abteilungen effizient. ,Die Geschäftsabteilungsleitung leitete die Abteilung erfolgreich. 
Die Geschäftsabteilungsleiter leiteten die Abteilung erfolgreich. ,Die Geschäftsabteilungsleiterinnen leiteten die Abteilung erfolgreich. 
Die Geschäftsführer planten die Strategie für das neue Geschäftsjahr. ,Die Geschäftsführung plante die Strategie für das neue Geschäftsjahr. 
Die Geschäftsführer überwachten die Projekte. ,Die Geschäftsführerin und der Geschäftsführer überwachten die Projekte. 
Die Geschäftsführer arbeiteten eng zusammen an der Umsetzung. ,Die Geschäftsführerinnen und Geschäftsführer arbeiteten eng zusammen an der Umsetzung. 
Die Geschäftsführer  überwachte alle Prozesse sorgfältig. ,Die Geschäftsführung überwachte alle Prozesse sorgfältig. 
Die Geschäftsführer führten die Kontrollen gemeinsam durch. ,Die Geschäftsführerinnen und Geschäftsführern führten die Kontrollen gemeinsam durch. 
Die Geschäftsgruppenkoordinatoren organisierten das Team effizient. ,Der Geschäftsgruppenkoordinatorin bzw. -koordinator organisierte das Team effizient. 
Die Geschäftsgruppenkoordinatoren planten die Abläufe. ,Die Geschäftsgruppenkoordinator*innen planten die Abläufe . 
Die Geschäftsinhaber leiteten erfolgreich ihr Unternehmen. ,Die Geschäftsinhaberin bzw. der Geschäftsinhaber leiteten erfolgreich ihr Unternehmen. 
Die Geschäftsinhaber übernahm die Verantwortung. ,Die Geschäftsinhaberin bzw. der Geschäftsinhaber übernahm die Verantwortung. 
Die Geschäftsbesitzer führten die Prozesse gemeinsam durch. ,Die Geschäftbesitzende führten die Prozesse gemeinsam durch. 
Die Geschäftsleiter koordinierten die Abteilungen effizient. ,Die Geschäftsleiter*innen koordinierten die Abteilungen effizient. 
Die Geschäftsleiter leitete die Abteilung erfolgreich. ,Die Geschäftsleiterin bzw. der Geschäftsleiter leitete die Abteilung erfolgreich. 
Die Gesundheits- und Krankenschwester betreuten die Patienten sorgfältig. ,Die Gesundheits- und Krankenpfleger*innen versorgten die Patienten effizient. 
Die Gesundheits- und Krankenpflegerin betreuten die Patienten sorgfältig. ,Die Gesundheits- und Krankenpfleger*innen versorgten die Patienten effizient. 
Die Grafiker entwarfen das Titelbild. ,Die Grafikerin bzw. der Grafiker entwarfen das Titelbild. 
Die Grafiker gestalteten gemeinsam das neue Magazin. ,Die Grafiker*innen gestalteten gemeinsam das neue Magazin. 
Die Gruppenleiter koordinierten die Teams effizient. ,Die Gruppenleiter*innen koordinierten die Teams effizient. 
Die  Gruppenleiter leitete die Sitzung. ,Die Gruppenleiterin bzw. der Gruppenleiter leitete die Sitzung. 
Die Gruppenleiter  planten die Aufgaben für das Projekt. ,Die Gruppenleitung plante die Aufgaben für das Projekt. 
Die Gründer entwickelten das Start-up erfolgreich. ,Die Gründer*innen entwickelten das Start-up erfolgreich. 
Die Gründer stellte das Unternehmen vor. ,Die Gründerin bzw. der Gründer stellte das Unternehmen vor. 
Die Gründer arbeiteten gemeinsam an der Idee. ,Die Gründerinnen und Gründer arbeiteten gemeinsam an der Idee. 
Die Gymnasiasten diskutierten über die Aufgaben. ,Die Gymnasiastinnen und Gymnasiasten diskutierten über die Aufgaben. 
Die Gymnasiasten bereiteten sich intensiv auf die Prüfung vor. ,Der Gymnasiastin bzw. der Gymnasiast bereitete sich intensiv auf die Prüfung vor. 
Die Schüler organisierten gemeinsam ein Projekt für die Schule. ,Die Schüler*innen organisierten gemeinsam ein Projekt für die Schule. 
Die Gärtner pflegten den Park mit großem Einsatz. ,Die Gärtner*innen pflegten den Park mit großem Einsatz. 
Die Gärtner kümmerte sich um die Pflanzen. ,Die Gärtnerin bzw. der Gärtner kümmerte sich um die Pflanzen. 
Die Gärtner gestalteten gemeinsam die Blumenbeete. ,Die Gärtnerinnen und Gärtner gestalteten gemeinsam die Blumenbeete. 
Die Gärtner arbeiteten an allen Gartenprojekten. ,Die Gärtnerinnen und Gärtnern arbeiteten an allen Gartenprojekten. 
Die Gäste wurden freundlich empfangen. ,Die Gästinnen und Gäste wurden freundlich empfangen. 
Die Lehrer unterrichteten die Schüler in allen Fächern. ,Die Lehrer*innen unterrichteten die Schüler in allen Fächern. 
Die Lehrer erklärten das Thema ausführlich. ,Die Lehrerin bzw. der Lehrer erklärte das Thema ausführlich. 
Die Lehrer betreuten gemeinsam das Projekt. ,Die Lehrerinnen und Lehrer betreuten gemeinsam das Projekt. 
Die Lehrern halfen den Schülern bei der Vorbereitung. ,Die Lehrerinnen und Lehrern halfen den Schülern bei der Vorbereitung. 
Die Hacker analysierten den Sicherheitsvorfall. ,Die Hackerin bzw. der Hacker analysierte den Sicherheitsvorfall. 
Die Hauptschullehrer bereitete die Stunden vor. ,Die Hauptschullehrerin bzw. der Hauptschullehrer bereitete die Stunden vor. 
Die Hauptschullehrer planten gemeinsam den Unterricht. ,Die Hauptschullehrer*innen planten gemeinsam den Unterricht. 
Die Hauptschullehrer organisierten gemeinsam die Klassenaktivitäten. ,Die Hauptschullehrerinnen und Hauptschullehrer organisierten gemeinsam die Klassenaktivitäten. 
Der Lehrer plante die Schulveranstaltungen. ,Der Lehrkörper plante die Schulveranstaltungen. 
Die Hausarbeiter erledigten alle Aufgaben im Gebäude. ,Die Hausarbeiter*innen erledigten alle Aufgaben im Gebäude. 
Die Hausarbeiterinnen kümmerten sich um die Reinigung. ,Die Hausarbeiterin bzw. der Hausarbeiter kümmerte sich um die Reinigung. 
Die Hausfrau  kümmerte sich um den Haushalt. ,Die Hausfrau bzw. der Hausmann kümmerte sich um den Haushalt. 
Die Hausfrauen organisierten gemeinsam die Familienaufgaben. ,Die Hausfrauen und Hausmänner organisierten gemeinsam die Familienaufgaben. 
Die Haushälterinnen pflegten das Anwesen sorgfältig. ,Die Haushälter*innen pflegten das Anwesen sorgfältig. 
Die Haushälter kümmerte sich individuell um die Räume. ,Die Haushälterin bzw. der Haushälter kümmerte sich individuell um die Räume. 
Die Haushälterin kümmerte sich um die Räume. ,Die Haushälterin bzw. der Haushälter kümmerte sich individuell um die Räume. 
Die Hausinspektor überprüften die Sicherheit aller Gebäude. ,Die Hausinspektor*innen überprüften die Sicherheit aller Gebäude. 
Die Hausinspektor führte die Kontrolle durch. ,Die Hausinspektorin bzw. der Hausinspektor führte die Kontrolle durch. 
Die Hauskoordinatoren organisierten die Abläufe im Gebäude. ,Die Hauskoordinator*innen organisierten die Abläufe im Gebäude. 
Die Hausmeister erledigte die Wartung. ,Die Hausmeisterin bzw. der Hausmeister erledigte die Wartung. 
Die Hausmeister kümmerten sich um alle technischen Belange. ,Die Hausmeister*innen kümmerten sich um alle technischen Belange. 
Die Hausmeister arbeiteten zusammen an den Reparaturen. ,Die Hausmeisterinnen und Hausmeister arbeiteten zusammen an den Reparaturen. 
Die Hausmeistern führten alle Arbeiten gemeinsam aus. ,Die Hausmeisterinnen und Hausmeistern führten alle Arbeiten gemeinsam aus. 
Die Masseurinnen behandelte die Patienten. ,Die Heilmasseur*innen kümmerten sich gemeinsam um die Patienten. 
Die Heilmasseurinnen kümmerten sich gemeinsam um die Patienten. ,Die Heilmasseur*innen kümmerten sich gemeinsam um die Patienten. 
Die Hebamme betreute die Gebärenden sorgfältig. ,Die Geburtshilfe betreute die Gebärenden sorgfältig. 
Der IT-Organisatoren kümmerten sich um alle technischen Abläufe. ,Der IT-Organisatorin bzw. der IT-Organisator kümmerte sich um alle technischen Abläufe. 
Der IT-Sicherheitsverantwortlicher prüfte die Systeme regelmäßig. ,Der IT-Sicherheitsverantwortliche bzw. die IT-Sicherheitsverantwortliche prüfte die Systeme regelmäßig. 
Die Immobilienmakler organisierten eine Besichtigungstour durch die Stadt. ,Die Immobilienmakler*innen organisierten eine Besichtigungstour durch die Stadt. 
Die Immobilienmakler zeigten die Wohnungen potenziellen Käufern. ,Die Immobilienmaklerin bzw. der Immobilienmakler zeigte die Wohnungen potenziellen Käufern und Käuferinnen. 
Die Immobilienmakler betreuten die Kunden gemeinsam. ,Die Immobilienmaklerinnen und Immobilienmakler betreuten die Kunden gemeinsam. 
Die  Immobilienmaklern führten die Besichtigungen durch. ,Die Immobilienmaklerinnen und Immobilienmaklern führten die Besichtigungen durch. 
Die Infomanager analysierten die Daten für die Geschäftsführung. ,Die Infomanager*innen analysierten die Daten für die Geschäftsführung. 
Die Infomanager werteten die Ergebnisse gemeinsam aus. ,Die Infomanagerin bzw. der Infomanager wertete die Ergebnisse gemeinsam aus. 
Die Informatiker entwickelten eine neue Software. ,Die Informatiker*innen entwickelten eine neue Software. 
Die Informatiker programmierte das Modul. ,Die Informatikerin bzw. der Informatiker programmierte das Modul. 
Die Informatiker arbeiteten zusammen am Projekt. ,Die Informatikerinnen und Informatiker arbeiteten zusammen am Projekt. 
Die Informatiker testeten die Software ausgiebig. ,Die Informatikerinnen und Informatiker testeten die Software ausgiebig. 
Der Ingenieur plante die Konstruktion des Gebäudes. ,Die Ingenieurin bzw. der Ingenieur plante die Konstruktion des Gebäudes. 
Die Ingenieure berechneten gemeinsam die Statik. ,Die Ingenieurinnen und Ingenieure berechneten gemeinsam die Statik. 
Die Ingenieuren überwachten die Bauarbeiten. ,Die Ingenieurinnen und Ingenieuren überwachten die Bauarbeiten. 
Die Inhabende leitete das Unternehmen. ,Der Inhabende bzw. die Inhabende leitete das Unternehmen. 
Die Inhaber führten die Firma gemeinsam. ,Die Inhaber*innen führten die Firma gemeinsam. 
Die Inhaber präsentierten die Ergebnisse. ,Die Inhaberin bzw. der Inhaber präsentierte die Ergebnisse. 
Die Inspektoren führten die Kontrolle durch. ,Der Inspektor bzw. die Inspektorin führte die Kontrolle durch. 
Die Inspektoren überprüften die Sicherheit in allen Bereichen. ,Die Inspektor*innen überprüften die Sicherheit in allen Bereichen. 
Die Installateuren reparierten die Leitung. ,Der Installateur bzw. die Installateurin reparierte die Leitung. 
Die Intendanten planten das Programm des Theaters. ,Der Intendant bzw. die Intendantin plante das Programm des Theaters. 
Die interessierte Besucher besuchten die Ausstellung. ,Die Interessierten besuchten die Ausstellung. 
Die Jobsuchender beteiligten sich an dem Workshop. ,Die Jobsuchenden beteiligten sich an dem Workshop. 
Die Jobsuchenden meldete sich individuell an. ,Die Jobsuchender meldete sich individuell an. 
Die Journalisten recherchierten für die Berichte. ,Die Journalisten*innen recherchierten für die Berichte. 
Die Journalisten arbeiteten gemeinsam an der Story. ,Die Journalistinnen und Journalisten arbeiteten gemeinsam an der Story. 
Die Journalleiter koordinierten alle Redaktionsaufgaben. ,Die Journalleiter*innen koordinierten alle Redaktionsaufgaben. 
Die  Journalleiter plante die Inhalte.,Die Journalleiterin bzw. der Journalleiter plante die Inhalte.
Die Jugendombudsmänner vermittelten im Konfliktfall. ,Die Jugendombudsfrau bzw. der Jugendombudsmann vermittelte im Konfliktfall. 
